"","timepoint","bw_date","ID","species","colony","coralID","colony_ID","home_reef","transplant_reef","collection_site","transplant_site","transplant","pale.or.bleached","partial.mortality","mortality","parent.colony.length","parent.colony.width","parent.colony.height","parent.colony.area","parent.colony.volume","bw","bw_sd","bw_se","surface.area","sa_sd","sa_se","chla","carbs_sa","carbs_dw","lipids_sa","lipids_dw","protein_dw","protein_sa","months","speciescolony","prot_mean","protlowerci","protupperci"
"102","T2","9/24/2018","PSTR 3 2","PSTR","P3","2","NSP3","NS","NS","False Caye","False Caye","NS Native","N","N","alive",30,23,15,690,10350,36.68769772,0.011547005,0.008164966,30.28660205,0.12223444,0.070572087,20141.34857,0.745122458,0.012128918,6.038392952,0.098291461,0.046106247,0.890625,9,"PSTR:P3",0.0244748234329385,-0.0545820735576398,0.0975499449733974
"109","T3","5/30/2019","PSTR P3 3","PSTR","P3","3","NSP3","NS","NS","False Caye","False Caye","NS Native","N","N","alive",30,23,15,690,10350,47.62666667,0.005773503,0.004082483,32.90759524,0.308797903,0.178284552,935.2533333,0.851292169,0.013534344,2.108603659,0.033523821,0.061474541,3.866666667,17,"PSTR:P3",0.0743634575525098,0.00357960553028182,0.144835142639496
"116","T3","5/31/2019","PSTR P3 11","PSTR","P3","11","NSP3","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",30,23,15,690,10350,46.00964067,0.017320508,0.012247449,29.66494874,0.363949994,0.210126627,23.38133333,0.48725946,0.011979598,0.159163034,0.003913129,0.041907385,1.704545455,17,"PSTR:P3",0.0493819858088354,-0.0296244631739365,0.126677487974981
"136","T1","3/7/2018","PSTR 4 7","PSTR","P4","7","NSP4","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,18,10,342,3420,15.27646181,0.005773503,0.004082483,15.77549276,0.254752158,0.147081227,4407.725176,NA,0.037891936,NA,0.062137505,0.063243487,4.666666667,3,"PSTR:P4",0.0444385473140587,-0.0357401120340846,0.123743065492117
"145","T2","9/26/2018","PSTR 4 12","PSTR","P4","12","NSP4","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,18,10,342,3420,27.98545136,0.01,0.007071068,27.04246738,0.045429867,0.026228946,9469.44,0.876693228,0.020831564,3.016868945,0.071685394,0.055621421,0.864705882,9,"PSTR:P4",0.0364243304296188,-0.0453608885477892,0.11641284246249
"158","T3","5/30/2019","PSTR P4 6","PSTR","P4","6","NSP4","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,18,10,342,3420,49.43663453,0.02,0.014142136,58.25311931,1.400240336,0.808429135,3565.933014,1.567318296,0.015083462,6.290783448,0.060540855,0.062821627,6.527777778,17,"PSTR:P4",0.0743634575525098,0.00357960553028182,0.144835142639496
"162","T3","5/31/2019","PSTR P4 11","PSTR","P4","11","NSP4","NS","OS","False Caye","Silk Cayes","OS Transplant","N","N","alive",19,18,10,342,3420,25.5524144,0.01,0.007071068,30.87847924,0.149716592,0.086438915,8517.485714,0.795102138,0.015420313,1.58879132,0.030813223,0.045908807,2.367149758,17,"PSTR:P4",0.0493819858088354,-0.0296244631739365,0.126677487974981
"176","T1","3/8/2018","PSTR 5 1","PSTR","P5","1","NSP5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,13,9,247,2223,20.11257669,0.005773503,0.004082483,21.54909552,0.100448326,0.057993868,15383.85455,NA,0.018985414,NA,0.062349869,0.070808498,4.691876751,3,"PSTR:P5",0.0458365266581076,-0.0421433175068791,0.134206886158068
"191","T2","9/24/2018","PSTR 5 2","PSTR","P5","2","NSP5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,13,9,247,2223,36.720035,0.011547005,0.008164966,34.89096974,0.069558799,0.040159792,11690.66667,0.931063753,0.028137619,1.818006086,0.054941847,0.022218108,1.363636364,9,"PSTR:P5",0.0244748234329385,-0.0545820735576398,0.0975499449733974
"199","T3","5/30/2019","PSTR P5 3","PSTR","P5","3","NSP5","NS","NS","False Caye","False Caye","NS Native","N","N","alive",19,13,9,247,2223,54.51795775,0.011547005,0.008164966,44.03151119,0.603315466,0.348324347,876.8,1.585294269,0.019172627,3.703645015,0.044792064,0.082168392,6.794117647,17,"PSTR:P5",0.0743634575525098,0.00357960553028182,0.144835142639496
