timepoint,ID,species,colony,coralID,colony_ID,home_reef,transplant_reef,collection_site,transplant_site,transplant,pale or bleached,partial mortality,mortality,parent colony length,parent colony width,parent colony height ,parent colony area,parent colony volume,bw,surface area,chla,symb_den,carbs_dw,lipids_dw,protein_dw,d15N_A,d13C_A
T3,SSID 2 16,SSID,S2,16,OSS2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,13,10,14,130,1820,32.04143986,35.97528099,0.951954286,606190.4762,0.027814755,0.01683778,0.019423104,,
T3,SSID 3 3,SSID,S3,3,NSS3,NS,NS,False Caye,False Caye,NS Native,N,N,alive,26,15,9,390,3510,65.64333333,49.98054827,2.214731852,1103518.518,0.02696214,0.005417111,0.028090572,,
T3,SSID 3 22,SSID,S3,22,OSS3,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,25,21,13,525,6825,28.19666667,11.93795236,4.27511634,1647494.553,0.029150694,0.008926152,0.03390411,,
T3,SSID 3 16,SSID,S3,16,OSS3,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,25,21,13,525,6825,14.96312555,14.67041318,1.275345455,944242.4241,0.051884825,0.0404504,0.016616988,,
T3,SSID 4 5,SSID,S4,5,NSS4,NS,NS,False Caye,False Caye,NS Native,N,N,alive,20,18,17,360,6120,26.82333333,26.87185768,0.344874667,1078000,0.034520678,0.030982786,0.034647655,,
T3,SSID 4 22,SSID,S4,22,OSS4,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,24,19,9,456,4104,25.90757042,27.60427075,7.415222857,2640000,0.042338609,0.028534642,0.038957296,,
T3,SSID 4 16,SSID,S4,16,OSS4,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,24,19,9,456,4104,18.68666667,19.46017494,1.070618947,375789.4737,0.046240565,0.043021506,0.016790223,,
T3,SSID 5 3,SSID,S5,3,NSS5,NS,NS,False Caye,False Caye,NS Native,N,N,alive,30,22,17,660,11220,21.33666667,34.29888664,2.36040127,900740.7408,0.036199832,0.019807312,0.034710505,,
T3,SSID 5 11,SSID,S5,11,NSS5,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,30,22,17,660,11220,12.68112379,16.27161334,1.84128,735000,0.029182069,0.012762412,0.020682048,,
T3,SSID 5 22,SSID,S5,22,OSS5,OS,NS,Silk Cayes,False Caye,NS Transplant,N,Y,alive,20,16,10,320,3200,22.33333333,19.50771913,2.621632,987000,0.030102183,0.02513793,0.019078287,,
T3,SSID 5 16,SSID,S5,16,OSS5,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,20,16,10,320,3200,9.7785777,14.39740421,0.531237647,168333.3333,0.042615831,0.02302602,0.01721519,,
T3,SSID 6 4,SSID,S6,4,NSS6,NS,NS,False Caye,False Caye,NS Native,N,N,alive,35,20,18,700,12600,21.73093777,14.16873608,4.348268339,1184952.978,0.031893298,0.006557707,0.020786389,,
T3,SSID 6 11,SSID,S6,11,NSS6,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,35,20,18,700,12600,16.56119403,11.49139798,2.031949206,748148.1481,0.050041878,0.008143237,0.020806157,,
T3,SSID 6 22,SSID,S6,22,OSS6,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,19,20,12,380,4560,27.48666667,29.57401894,4.138496,1463377.778,0.032046652,0.015693368,0.023573139,,
T3,SSID 6 16,SSID,S6,16,OSS6,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,19,20,12,380,4560,27.23110721,32.27574465,1.842165657,780471.3805,0.027521427,0.020979908,0.015849457,,
